"","iid","gender","attr_o","intel_o","sinc_o","fun_o","amb_o","dec_o","race_o","race","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga"
"1",1,0,6.7,8,7.4,7.2,8,0.5,2.3,4,NA,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"2",2,0,7.7,7.9,7.1,7.5,7.5,0.6,2.3,2,NA,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"3",3,0,6.5,7.3,7.1,6.2,NA,0.5,2.3,2,NA,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"4",4,0,7,7.7,7.1,7.5,7.7,0.6,2.3,2,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
"5",5,0,5.3,7.6,7.7,7.2,7.8,0.3,2.3,2,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
"6",6,0,6.8,8.6,7.8,7,8,0.5,2.3,4,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
"7",7,0,7.9,8.2,7.6,7,7.5,0.7,2.3,4,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
"8",8,0,8.2,8.1,7.8,7.9,NA,0.8,2.3,2,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
"9",9,0,7,7.5,7.4,7.8,6.9,0.7,2.3,6,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
"10",10,0,NA,6.4,7,6.4,6.2,0.4,2.3,2,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
"11",11,1,5.6,8.2,8.8,5.4,6.4,0.4,3,2,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1
"12",12,1,7.1,7.1,6.6,6.7,6.9,0.4,3,2,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5
"13",13,1,4.8,8.8,7.9,7,5.9,0.4,3,4,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1
"14",14,1,8.2,7.4,7.6,7.6,6.6,0.8,3,2,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1
"15",15,1,5.7,7.7,7.6,7.2,6.5,0.3,3,3,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1
"16",16,1,5.6,7.6,8.4,4.4,6,0.3,3,2,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1
"17",17,1,6.7,8.5,7.6,6.1,6.7,0.8,3,2,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2
"18",18,1,5.1,7.7,7.4,5.2,7.5,0.3,3,2,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1
"19",19,1,7.7,7.7,6.8,8.5,7.1,0.9,3,2,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10
"20",20,1,7.5,7.9,7.3,8.2,8.4,0.9,3,2,7,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10
"21",21,0,5.0625,7.75,7.3125,NA,NA,0.1875,2.375,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
"22",22,0,NA,6.5,6.625,5.5,NA,0.1875,2.375,1,5,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
"23",23,0,5.9375,6.9375,NA,6.25,NA,0.375,2.375,4,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
"24",24,0,6.5,NA,NA,6.625,NA,0.5,2.375,2,9,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
"25",25,0,7.6875,NA,NA,NA,NA,0.875,2.375,2,9,7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
"26",26,0,7.625,NA,NA,NA,NA,0.9375,2.375,2,9,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
"27",27,0,8.1875,NA,NA,7.5625,NA,0.9375,2.375,3,9,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
"28",28,0,6.625,7.25,7.4375,6.375,6.625,0.5,2.375,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,0,5.75,NA,NA,NA,NA,0.1875,2.375,2,9,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
"30",30,0,6.0625,NA,NA,NA,NA,0.25,2.375,2,1,5,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
"31",31,0,7.875,7.4375,7.25,6.5,NA,0.8125,2.375,2,1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
"32",32,0,NA,NA,NA,NA,NA,0.5625,2.375,4,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9
"33",33,0,6,8.0625,7.8125,6.8125,NA,0.25,2.375,2,6,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9
"34",34,0,7.1875,NA,7.3125,NA,7.25,0.6875,2.375,4,7,7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7
"35",35,0,7.3125,NA,NA,NA,NA,0.6875,2.375,2,7,9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8,3
"36",36,0,6.25,NA,NA,NA,NA,0.5,2.375,2,4,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1
"37",37,0,NA,NA,NA,NA,NA,0.1875,2.375,2,7,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9
"38",38,0,NA,NA,NA,NA,NA,0.4375,2.375,1,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2
"39",39,0,NA,NA,NA,NA,NA,0.125,2.375,3,1,3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10,1
"40",40,1,4.10526315789474,6.47368421052632,6.63157894736842,5.94736842105263,NA,0.210526315789474,2.42105263157895,4,NA,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
"41",41,1,3.68421052631579,NA,6.47368421052632,NA,6.63157894736842,0,2.42105263157895,4,1,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
"42",42,1,4.94736842105263,NA,6.05263157894737,5.73684210526316,NA,0.210526315789474,2.42105263157895,4,5,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
"43",43,1,4.26315789473684,6.94736842105263,6.36842105263158,4.63157894736842,NA,0.157894736842105,2.42105263157895,2,2,8,9,6,5,7,7,2,5,5,9,6,7,4,6,5,2,1
"44",44,1,4.89473684210526,6.78947368421053,6.63157894736842,NA,5.89473684210526,0.210526315789474,2.42105263157895,2,2,9,1,8,7,8,8,10,6,7,8,1,7,3,8,1,6,8
"45",45,1,5.21052631578947,6.89473684210526,6.21052631578947,NA,6.52631578947368,0.210526315789474,2.42105263157895,2,7,9,7,3,6,8,6,6,7,6,6,7,6,7,6,6,6,3
"46",46,1,7.63157894736842,7.31578947368421,6.78947368421053,NA,NA,0.473684210526316,2.42105263157895,2,7,10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2,7
"47",47,1,4.05263157894737,6.47368421052632,5.84210526315789,5.63157894736842,5.94736842105263,0.0526315789473684,2.42105263157895,2,2,6,7,2,8,7,6,3,7,4,7,4,5,8,8,7,2,1
"48",48,1,6.73684210526316,5.89473684210526,6.26315789473684,6.78947368421053,5.63157894736842,0.421052631578947,2.42105263157895,2,6,3,1,6,7,7,8,1,5,8,4,6,10,10,6,8,6,2
"49",49,1,6.31578947368421,NA,NA,6.97368421052632,NA,0.421052631578947,2.42105263157895,4,7,10,7,5,7,6,7,2,8,7,9,5,5,6,5,8,2,7
"50",50,1,6.31578947368421,NA,6.57894736842105,7.63157894736842,NA,0.578947368421053,2.42105263157895,1,1,10,10,3,8,5,3,4,3,10,5,6,8,10,7,10,6,2
"51",51,1,5.36842105263158,6.47368421052632,4.86842105263158,4.21052631578947,6.07894736842105,0.263157894736842,2.42105263157895,2,1,6,6,7,3,4,3,6,5,4,5,7,1,6,1,2,2,1
"52",52,1,NA,NA,NA,NA,NA,0.210526315789474,2.42105263157895,2,1,8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2
"53",53,1,NA,NA,NA,NA,NA,0.473684210526316,2.42105263157895,2,4,8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7,3
"54",54,1,4.42105263157895,NA,6.31578947368421,4.84210526315789,6.47368421052632,0,2.42105263157895,2,7,5,2,2,8,7,8,8,1,3,7,1,8,6,9,9,1,3
"55",55,1,6.21052631578947,7,7.05263157894737,NA,NA,0.315789473684211,2.42105263157895,1,1,10,8,4,5,5,4,1,6,10,9,7,5,10,7,10,5,1
"56",56,0,7.5,6.5,6.8,6.9,7,0.7,2.8,2,9,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4
"57",57,0,5.3,6.9,7.7,5.9,5.7,0.2,2.8,2,9,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9
"58",58,0,NA,NA,NA,NA,NA,0.5,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,0,NA,NA,NA,NA,NA,0,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,0,4.8,6.4,7,6.5,6,0.2,2.8,6,6,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5
"61",61,0,3.9,NA,7.1,5.3,5.7,0.2,2.8,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7
"62",62,0,8.3,7.6,7.1,7,6.5,0.8,2.8,3,1,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2
"63",63,0,4.4,7,6.5,6.2,NA,0.1,2.8,4,10,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2
"64",64,0,5.3,7.4,6.2,5.6,6.5,0.2,2.8,4,9,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5
"65",65,0,6.5,7,7.3,7.8,6.2,0.4,2.8,6,3,7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6
"66",66,1,NA,NA,NA,NA,NA,0.3,NA,3,7,4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2
"67",67,1,NA,NA,NA,NA,NA,0.4,NA,6,1,9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1
"68",68,1,5.5,7.8,5.8,4.9,6,0.2,NA,1,6,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1
"69",69,1,7.3,7.9,7.6,7.1,NA,0.7,NA,2,7,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1
"70",70,1,NA,NA,NA,NA,NA,0.3,NA,2,7,9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6
"71",71,1,NA,NA,NA,NA,NA,0.4,NA,2,14,9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2,1
"72",72,1,6.4,6.5,7.4,5,5.6,0.2,NA,2,7,8,3,7,10,6,6,7,2,9,5,6,7,7,6,8,8,4
"73",73,1,NA,NA,NA,NA,NA,0.4,NA,2,7,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1
"74",74,1,5.3,7.6,7.3,6,7.2,0.3,NA,2,5,8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5
"75",75,1,NA,NA,NA,NA,NA,0.2,NA,6,1,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5
"76",76,0,6.22222222222222,7.83333333333333,6.94444444444444,NA,NA,0.5,2.72222222222222,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7
"77",77,0,6.83333333333333,7.27777777777778,NA,NA,NA,0.444444444444444,2.72222222222222,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9
"78",78,0,6.47222222222222,6.69444444444444,NA,NA,NA,0.277777777777778,2.72222222222222,3,11,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10
"79",79,0,5.88888888888889,7.77777777777778,7.83333333333333,NA,NA,0.5,2.72222222222222,4,5,2,3,2,10,10,10,2,1,7,4,4,9,9,8,8,3,3
"80",80,0,6.38888888888889,7.55555555555556,7.94444444444444,NA,NA,0.277777777777778,2.72222222222222,4,2,8,3,7,5,5,4,3,1,5,10,9,7,7,7,7,9,2
"81",81,0,7.88888888888889,7.61111111111111,7.27777777777778,NA,NA,0.777777777777778,2.72222222222222,2,6,6,2,7,9,9,7,7,1,7,7,7,9,9,7,7,7,4
"82",82,0,6.61111111111111,7.22222222222222,7.77777777777778,NA,NA,0.555555555555556,2.72222222222222,6,2,5,5,5,8,9,10,9,1,7,8,6,8,8,8,9,6,7
"83",83,0,7.33333333333333,7.77777777777778,8.05555555555556,NA,NA,0.722222222222222,2.72222222222222,3,7,5,1,3,5,7,8,3,1,6,8,3,7,8,7,8,4,7
"84",84,0,6.77777777777778,7.80555555555556,7.66666666666667,NA,NA,0.5,2.72222222222222,3,4,7,1,9,9,9,9,3,1,9,9,1,9,10,9,9,5,5
"85",85,0,6.38888888888889,7.33333333333333,7.72222222222222,NA,NA,0.388888888888889,2.72222222222222,2,9,2,3,4,9,8,6,8,4,7,8,4,6,7,5,8,5,3
"86",86,0,7.33333333333333,8,7.88888888888889,7.66666666666667,NA,0.777777777777778,2.72222222222222,2,2,2,2,1,4,7,7,2,1,6,4,7,5,10,10,10,2,2
"87",87,0,7.5,7.11111111111111,7.16666666666667,NA,NA,0.555555555555556,2.72222222222222,2,9,10,5,10,8,7,7,8,4,9,9,6,7,10,9,10,7,9
"88",88,0,7,7.27777777777778,7.61111111111111,6.88888888888889,NA,0.333333333333333,2.72222222222222,2,9,8,7,10,7,7,7,8,6,6,10,8,9,10,8,10,9,3
"89",89,0,6.94444444444444,7.61111111111111,7.38888888888889,NA,NA,0.444444444444444,2.72222222222222,2,2,2,2,2,10,8,8,7,8,9,8,1,9,8,8,9,4,2
"90",90,0,5.88888888888889,7.72222222222222,8,NA,NA,0.166666666666667,2.72222222222222,4,10,8,9,6,5,8,9,6,3,1,10,6,7,8,7,6,4,1
"91",91,0,8.38888888888889,8.22222222222222,8,NA,NA,0.888888888888889,2.72222222222222,6,1,4,2,5,7,7,5,7,3,5,7,7,10,8,8,7,6,2
"92",92,0,7.88888888888889,7.38888888888889,NA,NA,NA,0.611111111111111,2.72222222222222,2,7,7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9
"93",93,0,7.13888888888889,8,7.97222222222222,NA,NA,0.777777777777778,2.72222222222222,2,2,3,2,6,10,7,6,8,7,8,7,5,8,8,6,5,7,6
"94",94,1,3.66666666666667,6.88888888888889,NA,5.72222222222222,NA,0.166666666666667,2.94444444444444,4,7,7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5
"95",95,1,4.66666666666667,7,6.88888888888889,5.38888888888889,6.72222222222222,0.111111111111111,2.94444444444444,2,7,10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3,3
"96",96,1,4.38888888888889,7.38888888888889,7.16666666666667,5.11111111111111,NA,0,2.94444444444444,3,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3
"97",97,1,7.16666666666667,8.11111111111111,7.05555555555556,NA,NA,0.555555555555556,2.94444444444444,2,2,6,8,8,3,3,3,6,1,5,8,3,2,7,3,7,3,5
"98",98,1,5.61111111111111,6.94444444444444,7.66666666666667,4.11111111111111,NA,0.111111111111111,2.94444444444444,2,2,8,8,8,7,3,3,5,1,7,7,3,7,8,6,8,2,7
"99",99,1,7.83333333333333,7.88888888888889,7.66666666666667,7.5,NA,0.944444444444444,2.94444444444444,2,1,5,5,5,8,10,10,5,5,9,6,6,10,10,10,10,8,5
"100",100,1,4.55555555555556,NA,7.94444444444444,NA,NA,0.277777777777778,2.94444444444444,6,2,5,4,6,7,6,6,2,2,4,6,5,7,7,3,7,6,2
"101",101,1,4,7.66666666666667,7.61111111111111,NA,NA,0,2.94444444444444,4,7,9,9,7,9,9,9,8,8,9,8,7,9,8,7,8,8,4
"102",102,1,4.11111111111111,7.27777777777778,NA,NA,NA,0.111111111111111,2.94444444444444,2,2,9,9,9,9,4,4,7,2,5,5,4,4,9,3,5,5,2
"103",103,1,6.22222222222222,6.94444444444444,NA,NA,NA,0.277777777777778,2.94444444444444,2,7,8,7,8,8,6,4,8,5,8,8,8,5,8,8,8,6,3
"104",104,1,NA,7.44444444444444,6.88888888888889,6.88888888888889,NA,0.5,2.94444444444444,2,2,8,3,8,9,8,8,9,5,8,7,3,8,7,6,8,3,7
"105",105,1,6.27777777777778,8.16666666666667,7.88888888888889,8.05555555555556,NA,0.555555555555556,2.94444444444444,1,1,9,9,6,8,5,5,3,4,7,8,6,6,7,4,7,5,5
"106",106,1,5.11111111111111,7.72222222222222,7.66666666666667,NA,NA,0.277777777777778,2.94444444444444,3,1,2,4,2,9,6,5,4,9,2,9,8,7,9,2,8,5,3
"107",107,1,6.88888888888889,8,8.05555555555556,8.11111111111111,NA,0.666666666666667,2.94444444444444,2,2,7,2,4,7,6,7,8,1,7,7,1,5,7,9,9,1,10
"108",108,1,7.16666666666667,7.5,7,6.77777777777778,6.94444444444444,0.555555555555556,2.94444444444444,2,5,7,3,4,5,6,7,3,2,5,7,3,7,7,4,6,2,2
"109",109,1,5.83333333333333,7.94444444444444,7.55555555555556,7.22222222222222,7.27777777777778,0.444444444444444,2.94444444444444,4,6,2,1,2,10,10,10,1,2,2,10,5,7,10,10,10,5,3
"110",110,1,5.5,7.05555555555556,NA,6.83333333333333,NA,0.277777777777778,2.94444444444444,2,6,4,3,8,7,7,9,8,2,3,7,5,7,9,7,8,3,6
"111",111,1,4.77777777777778,7.5,7.22222222222222,NA,NA,0.111111111111111,2.94444444444444,4,7,9,9,7,9,10,9,9,1,5,9,5,8,9,8,5,3,5
"112",112,0,7.9,7.5,7.3,7,6.2,0.8,3.2,6,11,8,3,8,5,7,8,8,8,9,9,3,8,8,9,10,4,6
"113",113,0,6.4,7,6.7,6.6,6,0.4,3.2,2,10,5,3,7,10,9,8,7,2,6,8,7,10,10,9,10,10,7
"114",114,0,5,7.1,6.8,5.5,NA,0.2,3.2,1,NA,6,8,3,4,4,3,5,2,6,8,7,6,7,6,9,2,2
"115",115,0,NA,NA,NA,NA,NA,0.5,3.2,2,3,2,2,8,7,3,3,1,1,8,10,2,2,6,4,7,8,1
"116",116,0,6.7,6.5,NA,6.3,6.3,0.6,3.2,2,10,5,4,3,10,10,10,6,4,8,10,10,10,10,10,10,10,8
"117",117,0,NA,NA,NA,NA,NA,0.5,3.2,2,7,6,8,6,9,8,6,3,5,8,8,5,6,5,6,5,9,3
"118",119,0,7.9,7,7.6,6.8,6.7,0.8,3.2,3,1,8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7,8
"119",120,0,7.8,7.5,6.6,7.3,6.9,0.7,3.2,3,6,5,4,4,8,7,5,3,1,5,10,6,10,9,6,8,3,5
"120",121,0,4.8,7.2,6.5,4.8,5.4,0.2,3.2,2,2,2,2,6,10,6,10,6,4,7,7,8,10,10,10,10,10,4
"121",122,1,NA,NA,NA,NA,NA,0.7,NA,6,1,7,9,7,9,7,6,5,6,6,6,8,7,8,8,8,5,4
"122",123,1,NA,NA,NA,NA,NA,0.4,NA,4,4,9,9,8,8,3,2,5,5,6,2,7,2,7,7,7,7,5
"123",124,1,NA,NA,NA,NA,NA,0,NA,4,1,5,5,8,10,8,8,6,5,8,8,6,9,9,9,8,8,7
"124",125,1,NA,NA,NA,NA,NA,0.8,NA,2,4,3,1,9,10,9,10,1,1,10,9,2,9,9,9,9,10,7
"125",126,1,NA,NA,NA,NA,NA,0.3,NA,2,4,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7
"126",127,1,NA,NA,NA,NA,NA,0.5,NA,2,6,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10
"127",128,1,NA,NA,NA,NA,NA,0.7,NA,2,5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2
"128",129,1,NA,NA,NA,NA,NA,0.3,NA,2,7,7,4,7,9,4,5,9,2,6,9,4,4,7,6,6,4,6
"129",130,1,NA,NA,NA,NA,NA,0.7,NA,4,10,7,4,9,8,3,2,7,5,7,6,2,1,2,2,9,6,2
"130",131,1,NA,NA,NA,NA,NA,0.1,NA,4,10,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3
"131",132,0,7.8,7,NA,7.2,7.2,1,3,2,7,7,2,10,5,7,7,9,1,1,5,9,5,10,3,10,1,10
"132",133,0,5.2,9,9,7.2,7.4,0.4,3,4,2,8,7,6,7,10,8,10,4,3,6,4,8,7,10,9,7,6
"133",134,0,6.5,8.3,8.4,6.2,6.8,0.6,3,2,2,7,4,4,8,9,6,7,8,6,8,5,9,5,7,8,8,8
"134",135,0,6.3,NA,NA,5.8,6.4,0.6,3,2,2,3,1,1,1,9,9,10,1,7,7,1,8,7,10,10,2,9
"135",136,0,5.8,NA,7.2,7.2,8,0.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",137,1,7.6,NA,7.6,NA,NA,0.2,NA,4,8,6,1,8,8,4,4,1,5,7,4,7,1,9,9,10,8,3
"137",138,1,8,8.6,8,NA,NA,0.6,NA,2,7,7,2,9,8,6,6,1,7,7,9,9,4,9,2,9,6,2
"138",139,1,5.6,NA,7,5.8,7,0.2,NA,4,2,7,5,8,10,9,9,6,5,6,10,8,7,10,8,9,7,8
"139",140,1,8,8.2,8.2,8.4,NA,0.6,NA,2,7,8,6,8,9,5,5,5,5,7,9,6,7,6,4,5,4,3
"140",141,1,5.8,NA,NA,7.2,6.8,0.2,NA,3,7,10,10,3,9,5,5,7,5,7,3,8,9,10,8,9,6,6
"141",142,0,7.3125,7.6875,7.1875,6.6875,NA,0.5625,2.5625,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6
"142",143,0,NA,7.4375,7.6875,5,NA,0.0625,2.5625,2,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4
"143",144,0,NA,NA,NA,NA,NA,0.375,2.5625,2,2,10,7,9,6,6,6,4,3,7,7,5,4,7,9,8,7,4
"144",145,0,5.4375,7.875,7.375,6.0625,NA,0.3125,2.5625,2,2,2,1,2,9,9,5,2,2,1,8,10,10,10,5,8,9,2
"145",146,0,5.5,NA,7.125,5.375,NA,0.3125,2.5625,2,2,5,2,5,5,8,8,3,1,3,10,8,8,8,5,8,8,3
"146",147,0,6.75,NA,7.125,8,NA,0.5,2.5625,4,7,8,7,8,9,9,9,5,2,8,10,8,9,8,6,6,7,10
"147",148,0,7.0625,7.3125,7,NA,NA,0.6875,2.5625,4,7,7,4,6,9,9,9,5,2,1,10,10,9,9,5,7,9,7
"148",149,0,7.3125,7.4375,7.0625,6.5,NA,0.75,2.5625,2,2,8,4,5,8,8,8,8,3,6,6,6,5,8,7,10,9,8
"149",150,0,7.25,8.375,8.0625,7.1875,NA,0.6875,2.5625,2,2,5,1,3,5,3,3,9,1,5,7,1,1,7,5,4,2,10
"150",151,0,8.6875,NA,8.125,7.75,NA,0.875,2.5625,2,9,5,1,8,10,9,8,8,4,1,8,1,9,8,9,10,7,7
"151",152,0,7.125,NA,7.9375,NA,NA,0.4375,2.5625,4,2,4,1,4,8,9,8,5,5,7,10,5,9,10,9,9,7,1
"152",153,0,6.3125,7.1875,7.8125,5.5,NA,0.3125,2.5625,4,2,8,5,7,7,7,6,6,5,7,10,6,7,9,7,7,8,5
