"","gender","attr_o","intel_o","sinc_o","fun_o","amb_o","dec_o","race_o","race","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga"
"1",0,6.7,8,7.4,7.2,8,0.5,2.3,4,5.27779126213592,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1
"2",0,7.7,7.9,7.1,7.5,7.5,0.6,2.3,2,5.27779126213592,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1
"3",0,6.5,7.3,7.1,6.2,7.07784090909091,0.5,2.3,2,5.27779126213592,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7
"4",0,7,7.7,7.1,7.5,7.7,0.6,2.3,2,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8
"5",0,5.3,7.6,7.7,7.2,7.8,0.3,2.3,2,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3
"6",0,6.8,8.6,7.8,7,8,0.5,2.3,4,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1
"7",0,7.9,8.2,7.6,7,7.5,0.7,2.3,4,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10
"8",0,8.2,8.1,7.8,7.9,7.37784090909091,0.8,2.3,2,6,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6
"9",0,7,7.5,7.4,7.8,6.9,0.7,2.3,6,9,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3
"10",0,6.31904114621602,6.4,7,6.4,6.2,0.4,2.3,2,9,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7
"11",1,5.6,8.2,8.8,5.4,6.4,0.4,3,2,2,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1
"12",1,7.1,7.1,6.6,6.7,6.9,0.4,3,2,1,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5
"13",1,4.8,8.8,7.9,7,5.9,0.4,3,4,1,7,8,2,9,5,6,4,7,7,6,8,10,8,9,9,8,1
"14",1,8.2,7.4,7.6,7.6,6.6,0.8,3,2,1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1
"15",1,5.7,7.7,7.6,7.2,6.5,0.3,3,3,1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1
"16",1,5.6,7.6,8.4,4.4,6,0.3,3,2,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1
"17",1,6.7,8.5,7.6,6.1,6.7,0.8,3,2,2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2
"18",1,5.1,7.7,7.4,5.2,7.5,0.3,3,2,7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1
"19",1,7.7,7.7,6.8,8.5,7.1,0.9,3,2,7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10
"20",1,7.5,7.9,7.3,8.2,8.4,0.9,3,2,7,10,10,10,10,9,9,4,10,10,8,3,8,8,6,6,5,10
"21",0,5.0625,7.75,7.3125,5.71253741581442,6.67365056818182,0.1875,2.375,4,10,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2
"22",0,4.88690071638501,6.5,6.625,5.5,6.15980113636364,0.1875,2.375,1,5,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8
"23",0,5.9375,6.9375,7.26095352861204,6.25,6.42365056818182,0.375,2.375,4,3,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3
"24",0,6.5,7.33558133052527,6.94845352861204,6.625,6.72230113636364,0.5,2.375,2,9,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7
"25",0,7.6875,6.96058133052527,7.26095352861204,7.27503741581442,6.09730113636364,0.875,2.375,2,9,7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4
"26",0,7.625,7.27308133052527,7.13595352861204,7.40003741581442,6.53480113636364,0.9375,2.375,2,9,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1
"27",0,8.1875,6.89808133052527,7.38595352861204,7.5625,6.59730113636364,0.9375,2.375,3,9,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8
"28",0,6.625,7.25,7.4375,6.375,6.625,0.5,2.375,2,5.27779126213592,6.42523195565731,4.57549102301482,6.24581274852392,7.78382937703338,6.98578141944813,6.71454392095433,5.73707675623569,3.88119050488011,5.74599349319195,7.67851548379323,5.30413302807567,6.77611760453067,7.91962887094831,6.8254006506808,7.85106639354139,5.63128087721412,4.33919749367394
"29",0,5.75,6.58558133052527,7.19845352861204,6.15003741581442,6.54865056818182,0.1875,2.375,2,9,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5
"30",0,6.0625,7.33558133052527,6.88595352861204,6.27503741581442,7.22230113636364,0.25,2.375,2,1,5,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4
"31",0,7.875,7.4375,7.25,6.5,7.54865056818182,0.8125,2.375,2,1,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6
"32",0,6.88690071638501,8.14808133052527,7.76095352861204,7.15003741581442,7.42365056818182,0.5625,2.375,4,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9
"33",0,6,8.0625,7.8125,6.8125,7.23615056818182,0.25,2.375,2,6,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9
"34",0,7.1875,7.33558133052527,7.3125,6.83753741581442,7.25,0.6875,2.375,4,7,7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7
"35",0,7.3125,7.83558133052527,6.57345352861204,5.67507483162884,7.17365056818182,0.6875,2.375,2,7,9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8,3
"36",0,6.25,7.14808133052527,7.01095352861204,6.08753741581442,7.11115056818182,0.5,2.375,2,4,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1
"37",0,5.01190071638501,7.39808133052527,6.88595352861204,5.71253741581442,6.42365056818182,0.1875,2.375,2,7,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9
"38",0,6.51190071638501,7.71058133052527,7.51095352861204,7.52503741581442,7.59730113636364,0.4375,2.375,1,1,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2
"39",0,4.44940071638501,6.89808133052527,7.32345352861204,7.21253741581442,6.23615056818182,0.125,2.375,3,1,3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10,1
"40",1,4.10526315789474,6.47368421052632,6.63157894736842,5.94736842105263,6.04096889952153,0.210526315789474,2.42105263157895,4,5.27779126213592,4,9,3,7,7,8,5,7,9,7,5,5,8,8,10,4,2
"41",1,3.68421052631579,6.70364743623181,6.47368421052632,4.25269459505586,6.63157894736842,0,2.42105263157895,4,1,5,5,6,5,5,5,5,10,5,6,6,6,6,5,5,5,1
"42",1,4.94736842105263,6.91417375202128,6.05263157894737,5.73684210526316,6.77781100478469,0.210526315789474,2.42105263157895,4,5,1,1,7,5,3,3,3,1,1,9,8,5,7,2,5,2,1
"43",1,4.26315789473684,6.94736842105263,6.36842105263158,4.63157894736842,6.35675837320574,0.157894736842105,2.42105263157895,2,2,8,9,6,5,7,7,2,5,5,9,6,7,4,6,5,2,1
"44",1,4.89473684210526,6.78947368421053,6.63157894736842,4.70529466594898,5.89473684210526,0.210526315789474,2.42105263157895,2,2,9,1,8,7,8,8,10,6,7,8,1,7,3,8,1,6,8
"45",1,5.21052631578947,6.89473684210526,6.21052631578947,3.91582098173846,6.52631578947368,0.210526315789474,2.42105263157895,2,7,9,7,3,6,8,6,6,7,6,6,7,6,7,6,6,6,3
"46",1,7.63157894736842,7.31578947368421,6.78947368421053,6.75792624489635,6.3450956937799,0.473684210526316,2.42105263157895,2,7,10,7,5,6,7,7,8,3,7,7,4,4,6,5,6,2,7
"47",1,4.05263157894737,6.47368421052632,5.84210526315789,5.63157894736842,5.94736842105263,0.0526315789473684,2.42105263157895,2,2,6,7,2,8,7,6,3,7,4,7,4,5,8,8,7,2,1
"48",1,6.73684210526316,5.89473684210526,6.26315789473684,6.78947368421053,5.63157894736842,0.421052631578947,2.42105263157895,2,6,3,1,6,7,7,8,1,5,8,4,6,10,10,6,8,6,2
"49",1,6.31578947368421,7.49312112044233,7.06185560304172,6.97368421052632,7.04096889952153,0.421052631578947,2.42105263157895,4,7,10,7,5,7,6,7,2,8,7,9,5,5,6,5,8,2,7
"50",1,6.31578947368421,7.3878579625476,6.57894736842105,7.63157894736842,7.61991626794258,0.578947368421053,2.42105263157895,1,1,10,10,3,8,5,3,4,3,10,5,6,8,10,7,10,6,2
"51",1,5.36842105263158,6.47368421052632,4.86842105263158,4.21052631578947,6.07894736842105,0.263157894736842,2.42105263157895,2,1,6,6,7,3,4,3,6,5,4,5,7,1,6,1,2,2,1
"52",1,3.9573900769558,7.19676855667414,6.70265857450449,5.1789788764753,6.46202153110048,0.210526315789474,2.42105263157895,2,1,8,5,3,6,3,4,3,3,3,3,7,4,6,3,5,4,2
"53",1,6.85212691906106,7.67045276720046,7.0184480481887,5.65266308700161,7.251495215311,0.473684210526316,2.42105263157895,2,4,8,4,3,10,9,8,8,4,4,9,5,7,9,9,9,7,3
"54",1,4.42105263157895,6.78259480465286,6.31578947368421,4.84210526315789,6.47368421052632,0,2.42105263157895,2,7,5,2,2,8,7,8,8,1,3,7,1,8,6,9,9,1,3
"55",1,6.21052631578947,7,7.05263157894737,7.07371571858056,6.77781100478469,0.315789473684211,2.42105263157895,1,1,10,8,4,5,5,4,1,6,10,9,7,5,10,7,10,5,1
"56",0,7.5,6.5,6.8,6.9,7,0.7,2.8,2,9,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4
"57",0,5.3,6.9,7.7,5.9,5.7,0.2,2.8,2,9,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9
"58",0,5.91904114621602,6.43693012884044,7.01752564577926,6.38011973060614,6.37784090909091,0.5,2.8,2.75718580877931,5.27779126213592,6.42523195565731,4.57549102301482,6.24581274852392,7.78382937703338,6.98578141944813,6.71454392095433,5.73707675623569,3.88119050488011,5.74599349319195,7.67851548379323,5.30413302807567,6.77611760453067,7.91962887094831,6.8254006506808,7.85106639354139,5.63128087721412,4.33919749367394
"59",0,5.79520573108009,7.02158077304262,7.20515387467557,5.34035919181841,5.94488636363636,0,2.8,2.75718580877931,5.27779126213592,6.42523195565731,4.57549102301482,6.24581274852392,7.78382937703338,6.98578141944813,6.71454392095433,5.73707675623569,3.88119050488011,5.74599349319195,7.67851548379323,5.30413302807567,6.77611760453067,7.91962887094831,6.8254006506808,7.85106639354139,5.63128087721412,4.33919749367394
"60",0,4.8,6.4,7,6.5,6,0.2,2.8,6,6,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5
"61",0,3.9,7.53693012884044,7.1,5.3,5.7,0.2,2.8,2,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7
"62",0,8.3,7.6,7.1,7,6.5,0.8,2.8,3,1,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2
"63",0,4.4,7,6.5,6.2,5.97784090909091,0.1,2.8,4,10,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2
"64",0,5.3,7.4,6.2,5.6,6.5,0.2,2.8,4,9,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5
"65",0,6.5,7,7.3,7.8,6.2,0.4,2.8,6,3,7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6
"66",1,5.51904114621602,7.23693012884044,7.51752564577926,6.24005986530307,6.65568181818182,0.3,3.45133052378085,3,7,4,2,3,6,4,3,3,6,4,8,6,4,8,4,6,4,2
"67",1,6.51904114621602,7.93693012884044,7.91752564577926,6.34005986530307,6.93352272727273,0.4,3.45133052378085,6,1,9,9,6,7,6,6,4,4,4,6,6,3,9,9,9,2,1
"68",1,5.5,7.8,5.8,4.9,6,0.2,3.45133052378085,1,6,3,2,2,7,8,8,3,3,7,10,7,5,9,7,7,7,1
"69",1,7.3,7.9,7.6,7.1,7.07784090909091,0.7,3.45133052378085,2,7,10,7,5,5,3,2,1,3,9,8,2,4,7,6,7,2,1
"70",1,6.01904114621602,8.43693012884044,7.41752564577926,7.84005986530307,8.27784090909091,0.3,3.45133052378085,2,7,9,4,9,5,7,5,7,5,5,8,3,7,8,5,8,5,6
"71",1,5.11904114621602,7.73693012884044,8.11752564577926,5.34005986530307,7.27784090909091,0.4,3.45133052378085,2,14,9,10,6,4,3,3,7,6,7,7,8,3,10,6,8,2,1
"72",1,6.4,6.5,7.4,5,5.6,0.2,3.45133052378085,2,7,8,3,7,10,6,6,7,2,9,5,6,7,7,6,8,8,4
"73",1,6.11904114621602,7.83693012884044,7.61752564577926,7.44005986530307,7.95568181818182,0.4,3.45133052378085,2,7,9,9,7,6,5,4,4,6,6,5,5,5,7,7,6,4,1
"74",1,5.3,7.6,7.3,6,7.2,0.3,3.45133052378085,2,5,8,3,5,9,10,10,9,6,8,10,2,9,10,8,8,3,5
"75",1,5.31904114621602,8.03693012884044,7.61752564577926,5.54005986530307,7.15568181818182,0.2,3.45133052378085,6,1,8,2,8,7,7,7,7,5,9,8,8,5,7,6,8,5,5
"76",0,6.22222222222222,7.83333333333333,6.94444444444444,7.57781103627948,6.57417929292929,0.5,2.72222222222222,2,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7
"77",0,6.83333333333333,7.27777777777778,7.23195869209959,6.52225548072393,6.40751262626263,0.444444444444444,2.72222222222222,2,11,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9
"78",0,6.47222222222222,6.69444444444444,6.89862535876626,5.46669992516837,5.41982323232323,0.277777777777778,2.72222222222222,3,11,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10
"79",0,5.88888888888889,7.77777777777778,7.83333333333333,6.85558881405726,6.30871212121212,0.5,2.72222222222222,4,5,2,3,2,10,10,10,2,1,7,4,4,9,9,8,8,3,3
"80",0,6.38888888888889,7.55555555555556,7.94444444444444,5.85006651700341,6.74084595959596,0.277777777777778,2.72222222222222,4,2,8,3,7,5,5,4,3,1,5,10,9,7,7,7,7,9,2
"81",0,7.88888888888889,7.61111111111111,7.27777777777778,6.96669992516837,7.79640151515152,0.777777777777778,2.72222222222222,2,6,6,2,7,9,9,7,7,1,7,7,7,9,9,7,7,7,4
"82",0,6.61111111111111,7.22222222222222,7.77777777777778,6.91114436961282,6.03093434343434,0.555555555555556,2.72222222222222,6,2,5,5,5,8,9,10,9,1,7,8,6,8,8,8,9,6,7
"83",0,7.33333333333333,7.77777777777778,8.05555555555556,7.3000332585017,7.03093434343434,0.722222222222222,2.72222222222222,3,7,5,1,3,5,7,8,3,1,6,8,3,7,8,7,8,4,7
"84",0,6.77777777777778,7.80555555555556,7.66666666666667,6.88336659183504,6.86426767676768,0.5,2.72222222222222,3,4,7,1,9,9,9,9,3,1,9,9,1,9,10,9,9,5,5
"85",0,6.38888888888889,7.33333333333333,7.72222222222222,6.35558881405726,6.29640151515152,0.388888888888889,2.72222222222222,2,9,2,3,4,9,8,6,8,4,7,8,4,6,7,5,8,5,3
"86",0,7.33333333333333,8,7.88888888888889,7.66666666666667,7.1852904040404,0.777777777777778,2.72222222222222,2,2,2,2,1,4,7,7,2,1,6,4,7,5,10,10,10,2,2
"87",0,7.5,7.11111111111111,7.16666666666667,6.91114436961282,6.51862373737374,0.555555555555556,2.72222222222222,2,9,10,5,10,8,7,7,8,4,9,9,6,7,10,9,10,7,9
"88",0,7,7.27777777777778,7.61111111111111,6.88888888888889,6.57417929292929,0.333333333333333,2.72222222222222,2,9,8,7,10,7,7,7,8,6,6,10,8,9,10,8,10,9,3
"89",0,6.94444444444444,7.61111111111111,7.38888888888889,6.02225548072393,7.32102272727273,0.444444444444444,2.72222222222222,2,2,2,2,2,10,8,8,7,8,9,8,1,9,8,8,9,4,2
"90",0,5.88888888888889,7.72222222222222,8,4.91114436961282,6.14204545454545,0.166666666666667,2.72222222222222,4,10,8,9,6,5,8,9,6,3,1,10,6,7,8,7,6,4,1
"91",0,8.38888888888889,8.22222222222222,8,7.68892214739059,8.03093434343434,0.888888888888889,2.72222222222222,6,1,4,2,5,7,7,5,7,3,5,7,7,10,8,8,7,6,2
"92",0,7.88888888888889,7.38888888888889,7.73195869209959,6.18892214739059,6.6852904040404,0.611111111111111,2.72222222222222,2,7,7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9
"93",0,7.13888888888889,8,7.97222222222222,7.43892214739059,6.87973484848485,0.777777777777778,2.72222222222222,2,2,3,2,6,10,7,6,8,7,8,7,5,8,8,6,5,7,6
"94",1,3.66666666666667,6.88888888888889,5.45418091432181,5.72222222222222,7.48768939393939,0.166666666666667,2.94444444444444,4,7,7,2,8,8,5,4,4,3,3,9,5,7,9,6,7,4,5
"95",1,4.66666666666667,7,6.88888888888889,5.38888888888889,6.72222222222222,0.111111111111111,2.94444444444444,2,7,10,10,6,6,4,3,1,6,4,7,9,5,10,8,10,3,3
"96",1,4.38888888888889,7.38888888888889,7.16666666666667,5.11111111111111,6.98768939393939,0,2.94444444444444,3,2,5,8,7,10,10,8,10,6,8,8,3,8,9,8,7,7,3
"97",1,7.16666666666667,8.11111111111111,7.05555555555556,7.02225548072393,7.22853535353535,0.555555555555556,2.94444444444444,2,2,6,8,8,3,3,3,6,1,5,8,3,2,7,3,7,3,5
"98",1,5.61111111111111,6.94444444444444,7.66666666666667,4.11111111111111,6.09880050505051,0.111111111111111,2.94444444444444,2,2,8,8,8,7,3,3,5,1,7,7,3,7,8,6,8,2,7
"99",1,7.83333333333333,7.88888888888889,7.66666666666667,7.5,7.59880050505051,0.944444444444444,2.94444444444444,2,1,5,5,5,8,10,10,5,5,9,6,6,10,10,10,10,8,5
"100",1,4.55555555555556,7.96496118268913,7.94444444444444,5.85558881405726,7.46306818181818,0.277777777777778,2.94444444444444,6,2,5,4,6,7,6,6,2,2,4,6,5,7,7,3,7,6,2
"101",1,4,7.66666666666667,7.61111111111111,4.68892214739059,6.97537878787879,0,2.94444444444444,4,7,9,9,7,9,9,9,8,8,9,8,7,9,8,7,8,8,4
"102",1,4.11111111111111,7.27777777777778,7.17640313654403,4.85558881405726,6.30871212121212,0.111111111111111,2.94444444444444,2,2,9,9,9,9,4,4,7,2,5,5,4,4,9,3,5,5,2
"103",1,6.22222222222222,6.94444444444444,7.17640313654403,6.43339985033674,7.15435606060606,0.277777777777778,2.94444444444444,2,7,8,7,8,8,6,4,8,5,8,8,8,5,8,8,8,6,3
"104",1,6.89946730345334,7.44444444444444,6.88888888888889,6.88888888888889,6.98768939393939,0.5,2.94444444444444,2,2,8,3,8,9,8,8,9,5,8,7,3,8,7,6,8,3,7
"105",1,6.27777777777778,8.16666666666667,7.88888888888889,8.05555555555556,7.59880050505051,0.555555555555556,2.94444444444444,1,1,9,9,6,8,5,5,3,4,7,8,6,6,7,4,7,5,5
"106",1,5.11111111111111,7.72222222222222,7.66666666666667,6.63336659183504,6.93213383838384,0.277777777777778,2.94444444444444,3,1,2,4,2,9,6,5,4,9,2,9,8,7,9,2,8,5,3
"107",1,6.88888888888889,8,8.05555555555556,8.11111111111111,7.36426767676768,0.666666666666667,2.94444444444444,2,2,7,2,4,7,6,7,8,1,7,7,1,5,7,9,9,1,10
"108",1,7.16666666666667,7.5,7,6.77777777777778,6.94444444444444,0.555555555555556,2.94444444444444,2,5,7,3,4,5,6,7,3,2,5,7,3,7,7,4,6,2,2
"109",1,5.83333333333333,7.94444444444444,7.55555555555556,7.22222222222222,7.27777777777778,0.444444444444444,2.94444444444444,4,6,2,1,2,10,10,10,1,2,2,10,5,7,10,10,10,5,3
"110",1,5.5,7.05555555555556,6.45418091432181,6.83333333333333,7.20991161616162,0.277777777777778,2.94444444444444,2,6,4,3,8,7,7,9,8,2,3,7,5,7,9,7,8,3,6
"111",1,4.77777777777778,7.5,7.22222222222222,6.4889554058923,7.09880050505051,0.111111111111111,2.94444444444444,4,7,9,9,7,9,10,9,9,1,5,9,5,8,9,8,5,3,5
"112",0,7.9,7.5,7.3,7,6.2,0.8,3.2,6,11,8,3,8,5,7,8,8,8,9,9,3,8,8,9,10,4,6
"113",0,6.4,7,6.7,6.6,6,0.4,3.2,2,10,5,3,7,10,9,8,7,2,6,8,7,10,10,9,10,10,7
"114",0,5,7.1,6.8,5.5,6.17784090909091,0.2,3.2,1,5.27779126213592,6,8,3,4,4,3,5,2,6,8,7,6,7,6,9,2,2
"115",0,7.11904114621602,6.63693012884044,6.41752564577926,7.14005986530307,6.47784090909091,0.5,3.2,2,3,2,2,8,7,3,3,1,1,8,10,2,2,6,4,7,8,1
"116",0,6.7,6.5,6.81752564577926,6.3,6.3,0.6,3.2,2,10,5,4,3,10,10,10,6,4,8,10,10,10,10,10,10,10,8
"117",0,7.61904114621602,7.43693012884044,7.21752564577926,7.34005986530307,7.37784090909091,0.5,3.2,2,7,6,8,6,9,8,6,3,5,8,8,5,6,5,6,5,9,3
"118",0,7.9,7,7.6,6.8,6.7,0.8,3.2,3,1,8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7,8
"119",0,7.8,7.5,6.6,7.3,6.9,0.7,3.2,3,6,5,4,4,8,7,5,3,1,5,10,6,10,9,6,8,3,5
"120",0,4.8,7.2,6.5,4.8,5.4,0.2,3.2,2,2,2,2,6,10,6,10,6,4,7,7,8,10,10,10,10,10,4
"121",1,7.61904114621602,8.13693012884044,8.61752564577926,8.24005986530307,7.27784090909091,0.7,2.57566526189043,6,1,7,9,7,9,7,6,5,6,6,6,8,7,8,8,8,5,4
"122",1,6.33808229243204,7.23693012884044,8.51752564577926,5.84005986530307,6.87784090909091,0.4,2.57566526189043,4,4,9,9,8,8,3,2,5,5,6,2,7,2,7,7,7,7,5
"123",1,4.01904114621602,6.93693012884044,5.81752564577926,3.38011973060614,8.27784090909091,0,2.57566526189043,4,1,5,5,8,10,8,8,6,5,8,8,6,9,9,9,8,8,7
"124",1,7.81904114621602,8.43693012884044,8.21752564577926,8.24005986530307,8.07784090909091,0.8,2.57566526189043,2,4,3,1,9,10,9,10,1,1,10,9,2,9,9,9,9,10,7
"125",1,6.11904114621602,8.43693012884044,7.91752564577926,6.74005986530307,7.77784090909091,0.3,2.57566526189043,2,4,10,8,7,8,8,7,5,2,7,10,5,8,8,9,10,6,7
"126",1,7.21904114621602,6.23693012884044,6.01752564577926,6.14005986530307,6.17784090909091,0.5,2.57566526189043,2,6,10,8,8,8,5,3,5,5,6,1,7,1,5,8,7,5,10
"127",1,7.41904114621602,7.97386025768087,8.31752564577926,6.78011973060614,6.65568181818182,0.7,2.57566526189043,2,5,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2
"128",1,6.21904114621602,6.33693012884044,7.81752564577926,6.58011973060614,6.47784090909091,0.3,2.57566526189043,2,7,7,4,7,9,4,5,9,2,6,9,4,4,7,6,6,4,6
"129",1,7.21904114621602,7.63693012884044,8.61752564577926,6.54005986530307,6.77784090909091,0.7,2.57566526189043,4,10,7,4,9,8,3,2,7,5,7,6,2,1,2,2,9,6,2
"130",1,4.95712343864805,6.91079038652131,7.65257693733778,4.7201795959092,6.51136363636364,0.1,2.57566526189043,4,10,5,1,5,5,5,5,3,6,4,8,7,6,8,7,6,5,3
"131",0,7.8,7,7.23505129155852,7.2,7.2,1,3,2,7,7,2,10,5,7,7,9,1,1,5,9,5,10,3,10,1,10
"132",0,5.2,9,9,7.2,7.4,0.4,3,4,2,8,7,6,7,10,8,10,4,3,6,4,8,7,10,9,7,6
"133",0,6.5,8.3,8.4,6.2,6.8,0.6,3,2,2,7,4,4,8,9,6,7,8,6,8,5,9,5,7,8,8,8
"134",0,6.3,7.47386025768087,7.63505129155852,5.8,6.4,0.6,3,2,2,3,1,1,1,9,9,10,1,7,7,1,8,7,10,10,2,9
"135",0,5.8,8.07386025768087,7.2,7.2,8,0.6,3,2.75718580877931,5.27779126213592,6.42523195565731,4.57549102301482,6.24581274852392,7.78382937703338,6.98578141944813,6.71454392095433,5.73707675623569,3.88119050488011,5.74599349319195,7.67851548379323,5.30413302807567,6.77611760453067,7.91962887094831,6.8254006506808,7.85106639354139,5.63128087721412,4.33919749367394
"136",1,7.6,7.27386025768087,7.6,8.08011973060614,7.35568181818182,0.2,2.55133052378085,4,8,6,1,8,8,4,4,1,5,7,4,7,1,9,9,10,8,3
"137",1,8,8.6,8,7.88011973060614,7.95568181818182,0.6,2.55133052378085,2,7,7,2,9,8,6,6,1,7,7,9,9,4,9,2,9,6,2
"138",1,5.6,7.47386025768087,7,5.8,7,0.2,2.55133052378085,4,2,7,5,8,10,9,9,6,5,6,10,8,7,10,8,9,7,8
"139",1,8,8.2,8.2,8.4,8.35568181818182,0.6,2.55133052378085,2,7,8,6,8,9,5,5,5,5,7,9,6,7,6,4,5,4,3
"140",1,5.8,6.87386025768087,6.83505129155852,7.2,6.8,0.2,2.55133052378085,3,7,10,10,3,9,5,5,7,5,7,3,8,9,10,8,9,6,6
"141",0,7.3125,7.6875,7.1875,6.6875,6.58345170454545,0.5625,2.5625,2,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6
"142",0,4.76190071638501,7.4375,7.6875,5,6.90980113636364,0.0625,2.5625,2,1,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4
